line_item_id,usage_start_date,resource_id,resource_type,business_unit,daily_cost,usage_amount
cur_001,2026-08-01 00:00:00,arn:aws:ecs:us-east-1:123456789012:task-definition/marketing-web-app:1,ECS-EC2,Marketing,14.50,24.0
cur_002,2026-08-01 00:00:00,arn:aws:ecs:us-east-1:123456789012:task-definition/marketing-analytics:2,ECS-EC2,Marketing,42.00,24.0
cur_003,2026-08-01 00:00:00,arn:aws:ecs:us-east-1:123456789012:task-definition/eng-api-gateway:4,ECS-EC2,Engineering,28.80,24.0
cur_004,2026-08-01 00:00:00,arn:aws:ecs:us-east-1:123456789012:task-definition/datasci-model-trainer:1,ECS-EC2,DataScience,85.00,24.0
cur_005,2026-08-01 00:00:00,arn:aws:lambda:us-east-1:123456789012:function:marketing-promo-notifier,AWS-Lambda,Marketing,18.20,150000.0
cur_006,2026-08-01 00:00:00,arn:aws:lambda:us-east-1:123456789012:function:eng-auth-token-verifier,AWS-Lambda,Engineering,8.40,450000.0
cur_007,2026-08-01 00:00:00,arn:aws:lambda:us-east-1:123456789012:function:datasci-batch-processor,AWS-Lambda,DataScience,35.60,85000.0
cur_008,2026-08-01 00:00:00,arn:aws:s3:::mktg-campaign-raw-logs-2026,S3-Standard,Marketing,52.30,12500000000000.0
cur_009,2026-08-01 00:00:00,arn:aws:s3:::eng-build-artifacts-backup,S3-Standard,Engineering,18.90,3200000000000.0
cur_010,2026-08-01 00:00:00,arn:aws:s3:::datasci-model-checkpoints,S3-Standard,DataScience,94.10,22000000000000.0
cur_011,2026-08-01 00:00:00,arn:aws:kms:us-east-1:123456789012:key/k8f9a2b1-1111-2222-3333-mktg-key,AWS-KMS,Marketing,3.00,100000.0
cur_012,2026-08-01 00:00:00,arn:aws:kms:us-east-1:123456789012:key/e3f4a5b6-4444-5555-6666-eng-key,AWS-KMS,Engineering,3.00,85000.0
cur_013,2026-08-01 00:00:00,arn:aws:kms:us-east-1:123456789012:key/d7e8f9a0-7777-8888-9999-datasci-key,AWS-KMS,DataScience,3.00,210000.0
cur_014,2026-08-02 00:00:00,arn:aws:ecs:us-east-1:123456789012:task-definition/marketing-web-app:1,ECS-EC2,Marketing,14.50,24.0
cur_015,2026-08-02 00:00:00,arn:aws:ecs:us-east-1:123456789012:task-definition/marketing-analytics:2,ECS-EC2,Marketing,42.00,24.0
cur_016,2026-08-02 00:00:00,arn:aws:s3:::mktg-campaign-raw-logs-2026,S3-Standard,Marketing,53.10,12600000000000.0
